dev,details
nvidia xavier,32g
内存,金士顿 16G
内存,金士顿 DDR4 2666MHz 16GB
内存,金士顿 DDR4 2666MHz 16GB
内存,16G 2666MHz 金士顿
内存,ecc 16g 2666Mhz
内存,16G 2666MHz 金士顿
内存,海力士 DDR4 2666MHZ 16G
内存,海力士 DDR4 2666MHZ 16G
内存,"2933Mhz,16G,海盗船"
内存,16G 2666MHz 镁光
内存,"2933Mhz,16G,海盗船"
内存,"2400M,8G，xxx"
内存,4g xxx
内存,"2400M,8G，xxx"
内存,"2933Mhz,16G，海盗船"
内存,海力士 DDR4 2133Mhz 8GB
内存,海力士 DDR4 2133Mhz 8GB
内存,16G 1600MHz 金士顿
内存,"2933Mhz,16G，海盗船"
内存,金士顿 16G
内存,2666Mhz 16g
固态硬盘,Derler SSD 120G(固态硬盘)
固态硬盘,WDS 500G
固态硬盘,"512G,Intel"
固态硬盘,500g intel 981
固态硬盘,"Intel,PM981,500G"
固态硬盘,970EV0 500G
固态硬盘,三星SSD980 500GB
固态硬盘,500G SamsunG SSD980
固态硬盘,870EVO 256G
固态硬盘,"Intel,PM981,500G"
固态硬盘,"500G,Samsung SSD 980"
打印机,hp-405dw
打印机,hp-1020
显卡,2070S
显卡,3080
显卡,amd redeon r5 240
显卡,Nvidia GeForce GTX 1060 3GB(3GB/七彩虹)
显卡,quadro K2200
显卡,k2200
显卡,3090
显卡,3080
显卡,1080Ti
显卡,2080 ti
显卡,2080 ti
显卡,Nvidia GeForce RTX 1060
显卡,2070s
显卡,1060
显卡,2080ti
显示器,"1920x1080 ,aoc"
显示器,冠捷 1920x1080 32真彩色
显示器,1920X1080 Samsung
显示器,"1920x1080,aoc"
显示器,dell e2016h
显示器,aoc 1080p
显示器,"1920x1080,LG"
显示器,1920X1080 Samsung
显示器,1920x1080 冠捷AOC
显示器,aoc 1080p 2015
显示器,"1920×1080,AOC"
显示器,"1920×1080,AOC"
显示器,LG GSM5AB9 LG FULL HD(21.7英寸)1920x1080
显示器,aoc 1080p
服务器,huawei 2288h v5 3104 铜牌C6T6 1.7Ghz
机器人,6足 舵机x18
机械硬盘,"希捷 ST000DM010-2EP02, 1T"
机械硬盘,西数1TB 69.67X100.20X7.00MM
机械硬盘,wdc 1tb
机械硬盘,wd 1t 202104
机械硬盘,西部数据 WDC WD10SPZX-22Z10T1 1TB
机械硬盘,希捷ST1000DM010-2EP102 1TB
机械硬盘,西数 1TB 2.5寸
机箱,650W dell 040ddp
机箱,1250W 9700 Z390
机箱,"dell 2016 425w,xxx"
机箱,"650w, z390, i7 9700"
机箱,"1250W,9700,Z390"
机箱,"650W,因特尔Core i7-9700,技嘉Z390"
机箱,"hp2016,425W"
机箱,"1250W,9700,Z390"
机箱,"1250W Intel i7-9700, 技嘉Z390"
机箱,"B85M,XXX,250W,2015"
机箱,1250W z390
机箱,"DELL整机,XXX,290W,2015,4G ram"
机箱,650W z390
机箱,"1250w, z390, i7-9700"
